Algorithm,"Reward_(0.0, 0.0)","Reward_(0.04, 0.0)","Drop_Rate_(0.04, 0.0)(%)","Reward_(0.08, 0.0)","Drop_Rate_(0.08, 0.0)(%)","Reward_(0.12, 0.0)","Drop_Rate_(0.12, 0.0)(%)"
egnnv2_mappo,2257.9695,2303.1063,-1.9989995436165,2295.1559,-1.6468955847277853,2245.8895,0.5349939403521583
mappo,2038.5795,1971.8627,3.272710237692479,1857.2158,8.896572343634384,1668.5263,18.15250275988746
gcn_mappo,532.4833,402.2086,24.465499669191505,162.7178,69.44170831273017,48.9409,90.80893241158925
gat_mappo,339.1715,356.1722,-5.012419970427938,293.578,13.442609417359657,179.8902,46.96187621896297
graphsage_mappo,158.9578,127.1776,19.992853449154428,81.3347,48.832520329294944,39.4678,75.17089441348584
mappo_data_aug,1568.9688,1303.3677,16.928386338848807,960.7262,38.767029656676414,607.6237,61.272416634416196
mir_mappo,2111.6527,2022.9069,4.202670259176623,1891.239,10.43797116827024,1678.755,20.500421305075403
drqn_critic_mappo,1814.8722,1603.2818,11.658694204473463,1309.1593,27.86493175662727,952.5489,47.514271252818794
