Algorithm,"Reward_(0.0, 0.0)","Reward_(0.1, 0.0)","Drop_Rate_(0.1, 0.0)(%)","Reward_(0.2, 0.0)","Drop_Rate_(0.2, 0.0)(%)"
egnnv2_mappo,2261.016,2245.4974,0.6863551606888176,2202.6151,2.582949435121206
gat_mappo,336.268,333.0118,0.9683347805916646,316.3195,5.932321838533541
gcn_mappo,544.4111,525.3887,3.4941242013618132,498.6498,8.405651537964602
graphsage_mappo,165.5553,152.2703,8.02450903112132,130.3906,21.240455606072402
mappo,2034.5919,2042.0701,-0.36755282472126305,2033.058,0.0753910403358975
mappo_data_aug,1570.7955,1553.7159,1.0873216787290279,1504.3098,4.232613347822804
mir_mappo,2110.5845,2108.5471,0.09653250083093862,2096.9328,0.6468208214359525
drqn_critic_mappo,1826.7678,1829.5299,-0.1512014827500199,1802.3268,1.3379368740789075
