Algorithm,"Reward_(0.0, 0.0)","Reward_(0.04, 0.0)","Drop_Rate_(0.04, 0.0)(%)","Reward_(0.08, 0.0)","Drop_Rate_(0.08, 0.0)(%)","Reward_(0.12, 0.0)","Drop_Rate_(0.12, 0.0)(%)"
mir_mappo,-59.7872,-59.0864,-1.1721572510503937,-62.1337,3.924753124414589,-64.8757,8.5110190810073
drqn_critic_mappo,-63.0883,-64.5235,2.2749067576713937,-66.6161,5.591845080625102,-70.858,12.315595760228138
mappo,-59.5428,-59.8017,0.43481327717204604,-62.4178,4.8284595282721,-67.6306,13.583170425307511
egnnv2_mappo,-45.7745,-46.0362,0.5717156932353114,-51.205,11.863592174682399,-66.3284,44.90251122349779
gcn_mappo,-60.6115,-61.4199,1.3337402968083596,-63.6901,5.079234138736051,-65.5687,8.178645966524517
gat_mappo,-69.4624,-70.6565,1.7190595199705043,-74.0761,6.642010641728466,-84.8789,22.19402151379739
graphsage_mappo,-55.4182,-55.2233,-0.35168951716222646,-57.779,4.259972355652123,-65.9108,18.93349116355276
mappo_data_aug,-62.8329,-66.9055,6.481636212875741,-73.6642,17.238262120640606,-80.3333,27.852287575458067
