Algorithm,"Reward_(0.05, 0.0)","Reward_(0.05, 0.2)","Drop_Rate_(0.05, 0.2)(%)","Reward_(0.05, 0.3)","Drop_Rate_(0.05, 0.3)(%)","Reward_(0.05, 0.4)","Drop_Rate_(0.05, 0.4)(%)"
egnn_critic_mappo,24.3907,25.373,-4.027354688467335,23.2961,4.48777607858733,21.978,9.891885021750083
gat_mappo,21.3905,17.0092,20.48245716556415,18.5293,13.376031415815435,17.2372,19.416563427689855
gcn_mappo,20.4342,15.7184,23.077977116794393,16.4045,19.72037075099589,15.2021,25.604623621184096
graphsage_mappo,21.2803,19.5459,8.150261039553017,18.7541,11.871073246147843,18.2336,14.316997410750796
mappo,24.1481,23.4861,2.741416508959293,22.5249,6.721853893266968,21.6278,10.436845963036424
mappo_data_aug,23.0238,23.4481,-1.8428756330405873,22.406,2.6833103136754253,20.7742,9.770758953778268
drqn_critic_mappo,23.1053,23.8968,-3.425620961424432,23.3644,-1.1213877335503113,22.9604,0.6271288405690462
mir_mappo,25.0156,23.6255,5.556932474136141,24.0922,3.691296630902321,22.701,9.252626361150638
