Algorithm,"Reward_(0.0, 0.0)","Reward_(0.04, 0.0)","Drop_Rate_(0.04, 0.0)(%)","Reward_(0.06, 0.0)","Drop_Rate_(0.06, 0.0)(%)","Reward_(0.08, 0.0)","Drop_Rate_(0.08, 0.0)(%)"
egnnv2_mappo,-17.4289,-17.2074,-1.270877680174876,-17.2566,-0.9885879200638015,-17.4579,0.16639030575653035
mappo,-36.5061,-37.3965,2.439044433669988,-37.9338,3.910853254661534,-38.6816,5.959278038464802
gcn_mappo,-36.1343,-36.232,0.27038022045534604,-36.3101,0.4865183496013352,-36.4171,0.7826358888922564
graphsage_mappo,-34.3097,-34.4341,0.36257967863316026,-34.5378,0.6648265650821714,-34.6639,1.032361110706298
gat_mappo,-43.7205,-43.5073,-0.4876430964879187,-43.6885,-0.07319220960419845,-44.4987,1.7799430473118976
mappo_data_aug,-62.6816,-70.772,12.907137022666943,-75.8256,20.969471104758,-81.481,29.99189554829486
mir_mappo,-56.8296,-59.7136,5.074820164139815,-60.7643,6.923680617143178,-61.3208,7.902923828427438
drqn_critic_mappo,-55.9234,-58.4599,4.535668432176864,-60.5845,8.334793664190657,-62.7851,12.269819073947575
