Algorithm,"Reward_(0.0, 0.0)","Reward_(0.04, 0.0)","Drop_Rate_(0.04, 0.0)(%)","Reward_(0.06, 0.0)","Drop_Rate_(0.06, 0.0)(%)","Reward_(0.08, 0.0)","Drop_Rate_(0.08, 0.0)(%)","Reward_(0.12, 0.0)","Drop_Rate_(0.12, 0.0)(%)"
egnnv2_mappo,2260.5591,2266.0805,-0.24424930982782467,2267.1485,-0.29149425909722254,2259.079,0.06547495263449496,2255.6697,0.2162916244923667
mappo,2038.5795,2028.7259,0.4833561801244514,2026.7117,0.5821602738573595,2020.5945,0.8822319659351094,2000.6284,1.8616443459771863
gcn_mappo,530.8482,520.9555,1.8635647629585992,520.8187,1.8893348418625107,519.6512,2.1092658880636694,509.3972,4.040891539238528
gat_mappo,341.2818,355.8714,-4.2749422910920005,348.5359,-2.1255455169305986,346.5626,-1.5473429875252651,344.5997,-0.9721877931961238
graphsage_mappo,164.9273,158.9024,3.6530641076401555,154.2717,6.460786055431692,157.8767,4.274974488759595,146.5308,11.154308595362929
mappo_data_aug,1568.9688,1540.6763,1.8032544687950465,1524.3451,2.8441419612678147,1503.8584,4.149884943537438,1464.0263,6.6886288624732435
mir_mappo,2111.6527,2101.1563,0.4970703752563096,2096.5686,0.7143267451129646,2088.7353,1.085282631940388,2064.8932,2.214355608760859
drqn_critic_mappo,1814.8722,1797.1387,0.9771211438469358,1785.1153,1.63961407310113,1768.6652,2.54601949382442,1735.5045,4.373183963036076
