Algorithm,"Reward_(0.0, 0.0)","Reward_(0.05, 0.2)","Drop_Rate_(0.05, 0.2)(%)","Reward_(0.05, 0.4)","Drop_Rate_(0.05, 0.4)(%)","Reward_(0.05, 0.6)","Drop_Rate_(0.05, 0.6)(%)"
egnnv2_mappo,-45.5586,-45.7516,0.42363022568736736,-46.5086,2.0852264994973573,-48.1998,5.797368663655171
gat_mappo,-69.4741,-71.9082,3.5036078193168194,-74.8709,7.768074721370984,-80.7097,16.172357756343718
graphsage_mappo,-55.2996,-56.0967,1.441420914436995,-61.7257,11.620518050763486,-67.8445,22.685335879463864
mappo,-59.5428,-59.9942,0.7581101325433126,-63.9684,7.432636691589919,-68.4647,14.98401150097072
gcn_mappo,-60.7943,-61.9443,1.8916247082374475,-64.8179,6.618383631360168,-69.6398,14.549883788447262
mappo_data_aug,-62.8329,-80.953,28.83855432424733,-96.6391,53.80334187981136,-92.9391,47.91470710408081
