Step,Episode Rewards
10000,1.1340078115463257
20000,2.0287983417510986
30000,3.667149066925049
40000,2.329468011856079
50000,1.4059834480285645
60000,1.0187636613845825
70000,5.6837944984436035
80000,2.251007556915283
90000,2.7051069736480713
100000,2.307661294937134
110000,2.80588960647583
120000,4.809433937072754
130000,4.193122386932373
140000,4.649842739105225
150000,6.785555362701416
160000,10.020782470703125
170000,7.144838809967041
180000,8.8905668258667
190000,10.115561485290527
200000,11.0631103515625
210000,14.782170295715332
220000,14.43027400970459
230000,23.653871536254883
240000,24.175107955932617
250000,25.992542266845703
260000,29.860780715942383
270000,37.363014221191406
280000,33.3607063293457
290000,44.52750015258789
300000,46.699825286865234
310000,62.754302978515625
320000,54.382850646972656
330000,52.5992431640625
340000,62.80297088623047
350000,71.04950714111328
360000,59.712005615234375
370000,90.45878601074219
380000,100.54414367675781
390000,93.31888580322266
400000,133.0379638671875
410000,147.1012725830078
420000,143.26211547851562
430000,214.7896728515625
440000,157.59274291992188
450000,170.93621826171875
460000,172.95928955078125
470000,164.39627075195312
480000,192.17120361328125
490000,264.3791198730469
500000,319.3745422363281
510000,438.8706359863281
520000,429.2052001953125
530000,517.921875
540000,494.41571044921875
550000,613.947998046875
560000,576.413330078125
570000,568.8631591796875
580000,582.6201782226562
590000,519.2274780273438
600000,672.308837890625
610000,811.732666015625
620000,908.388916015625
630000,807.6417846679688
640000,763.6929321289062
650000,738.814697265625
660000,785.5226440429688
670000,794.3474731445312
680000,980.5529174804688
690000,982.8726806640625
700000,1003.9457397460938
710000,1020.6349487304688
720000,981.9019165039062
730000,872.9895629882812
740000,941.687744140625
750000,722.4415283203125
760000,791.0872192382812
770000,763.78271484375
780000,759.6131591796875
790000,789.3694458007812
800000,856.149658203125
810000,864.6285400390625
820000,892.4711303710938
830000,819.5678100585938
840000,731.015869140625
850000,625.6810913085938
860000,719.8148803710938
870000,683.12158203125
880000,702.7884521484375
890000,874.9868774414062
900000,1032.435302734375
910000,1073.80712890625
920000,923.9591064453125
930000,996.134033203125
940000,1080.4798583984375
950000,1045.5640869140625
960000,1144.4189453125
970000,1095.842529296875
980000,1058.022216796875
990000,1064.13818359375
1000000,1194.663818359375
1010000,1095.3231201171875
1020000,1183.1983642578125
1030000,1241.99853515625
1040000,1347.2591552734375
1050000,1126.088623046875
1060000,1192.022216796875
1070000,1260.2781982421875
1080000,1161.426025390625
1090000,1221.6708984375
1100000,1218.4219970703125
1110000,1099.9232177734375
1120000,1232.2822265625
1130000,1277.6204833984375
1140000,1321.7669677734375
1150000,1202.8062744140625
1160000,1293.7757568359375
1170000,1352.2159423828125
1180000,1325.7943115234375
1190000,1334.635009765625
1200000,1326.96923828125
1210000,1323.965576171875
1220000,1294.0255126953125
1230000,1384.5181884765625
1240000,1214.546875
1250000,1334.8515625
1260000,1221.7139892578125
1270000,1246.9783935546875
1280000,1328.0643310546875
1290000,1274.94189453125
1300000,1368.1522216796875
1310000,1370.030029296875
1320000,1403.278564453125
1330000,1452.7340087890625
1340000,1382.9586181640625
1350000,1484.42431640625
1360000,1470.2452392578125
1370000,1515.9796142578125
1380000,1479.1536865234375
1390000,1457.674560546875
1400000,1378.8150634765625
1410000,1371.12744140625
1420000,1451.505615234375
1430000,1414.8277587890625
1440000,1559.746826171875
1450000,1471.47216796875
1460000,1486.5079345703125
1470000,1454.7353515625
1480000,1446.5111083984375
1490000,1651.79296875
1500000,1555.546142578125
1510000,1533.4931640625
1520000,1440.8304443359375
1530000,1506.985107421875
1540000,1506.6158447265625
1550000,1394.5413818359375
1560000,1562.0267333984375
1570000,1535.9798583984375
1580000,1619.958984375
1590000,1504.4677734375
1600000,1534.1572265625
1610000,1589.2420654296875
1620000,1575.59326171875
1630000,1489.3453369140625
1640000,1499.5572509765625
1650000,1574.6240234375
1660000,1561.7486572265625
1670000,1428.347900390625
1680000,1596.3037109375
1690000,1552.34814453125
1700000,1557.9127197265625
1710000,1480.832275390625
1720000,1511.84716796875
1730000,1548.039794921875
1740000,1524.9664306640625
1750000,1567.175537109375
1760000,1489.933837890625
1770000,1544.0054931640625
1780000,1577.1954345703125
1790000,1558.8477783203125
1800000,1571.912109375
1810000,1577.2747802734375
1820000,1502.7984619140625
1830000,1590.922119140625
1840000,1491.033203125
1850000,1568.2647705078125
1860000,1588.52197265625
1870000,1456.0185546875
1880000,1619.5618896484375
1890000,1630.12353515625
1900000,1532.414306640625
1910000,1591.8687744140625
1920000,1550.004638671875
1930000,1506.166748046875
1940000,1594.5047607421875
1950000,1596.4107666015625
1960000,1448.8460693359375
1970000,1600.549072265625
1980000,1539.99267578125
1990000,1556.3197021484375
2000000,1600.339111328125
