Step,Episode Rewards
10000,-166.3533172607422
20000,-168.5722198486328
30000,-169.0773468017578
40000,-162.49485778808594
50000,-173.18251037597656
60000,-167.78077697753906
70000,-166.962646484375
80000,-176.4590606689453
90000,-176.14535522460938
100000,-169.57296752929688
110000,-167.68087768554688
120000,-172.77346801757812
130000,-168.56842041015625
140000,-174.995849609375
150000,-175.81088256835938
160000,-155.88998413085938
170000,-166.52984619140625
180000,-174.61968994140625
190000,-179.383544921875
200000,-174.37738037109375
210000,-187.44744873046875
220000,-176.58419799804688
230000,-174.0142059326172
240000,-178.2397918701172
250000,-174.5361328125
260000,-160.6582794189453
270000,-162.09149169921875
280000,-158.6607666015625
290000,-147.69308471679688
300000,-123.15862274169922
310000,-102.7023696899414
320000,-97.41361236572266
330000,-95.88179016113281
340000,-89.86573791503906
350000,-82.54528045654297
360000,-77.26937866210938
370000,-73.59647369384766
380000,-81.93445587158203
390000,-70.30088806152344
400000,-69.30049896240234
410000,-72.02777862548828
420000,-74.58186340332031
430000,-72.87096405029297
440000,-74.7681884765625
450000,-82.1192398071289
460000,-90.5098648071289
470000,-85.70652770996094
480000,-79.89877319335938
490000,-73.06124114990234
500000,-65.60552215576172
510000,-76.79283142089844
520000,-80.03272247314453
530000,-71.55855560302734
540000,-67.19047546386719
550000,-63.00404357910156
560000,-59.99956512451172
570000,-64.68415832519531
580000,-62.826419830322266
590000,-64.22441864013672
600000,-53.88097381591797
610000,-53.97056579589844
620000,-55.232635498046875
630000,-49.48255157470703
640000,-53.28542709350586
650000,-48.370140075683594
660000,-51.79145431518555
670000,-47.13530349731445
680000,-46.39946746826172
690000,-48.63724899291992
700000,-46.244178771972656
710000,-43.99992370605469
720000,-43.50056457519531
730000,-42.335289001464844
740000,-46.698997497558594
750000,-43.883907318115234
760000,-41.209190368652344
770000,-36.464996337890625
780000,-40.479000091552734
790000,-42.47065734863281
800000,-41.807498931884766
810000,-40.41984939575195
820000,-38.18474197387695
830000,-41.329078674316406
840000,-41.51157760620117
850000,-48.16838455200195
860000,-42.21219253540039
870000,-51.17755889892578
880000,-45.92558670043945
890000,-46.07722473144531
900000,-41.38578796386719
910000,-42.137454986572266
920000,-40.877864837646484
930000,-39.009918212890625
940000,-39.076881408691406
950000,-41.94678497314453
960000,-40.786285400390625
970000,-38.930908203125
980000,-40.46977996826172
990000,-43.85859680175781
1000000,-44.7359619140625
1010000,-37.4687614440918
1020000,-35.97856521606445
1030000,-42.66918182373047
1040000,-37.0398063659668
1050000,-36.778900146484375
1060000,-36.67165756225586
1070000,-36.13164138793945
1080000,-36.45372009277344
1090000,-33.81889724731445
1100000,-37.01782989501953
1110000,-33.946163177490234
1120000,-35.45249938964844
1130000,-36.35250473022461
1140000,-37.107025146484375
1150000,-37.79779052734375
1160000,-37.305023193359375
1170000,-36.775821685791016
1180000,-37.55598449707031
1190000,-35.54236602783203
1200000,-35.2824592590332
1210000,-38.437896728515625
1220000,-38.393531799316406
1230000,-37.0030632019043
1240000,-38.70048522949219
1250000,-39.94511795043945
1260000,-35.40384292602539
1270000,-41.081520080566406
1280000,-34.901580810546875
1290000,-31.89443588256836
1300000,-38.11459732055664
1310000,-36.080474853515625
1320000,-36.61320114135742
1330000,-36.3524055480957
1340000,-33.70023727416992
1350000,-36.76765060424805
1360000,-36.949642181396484
1370000,-37.09710693359375
1380000,-38.316959381103516
1390000,-38.745330810546875
1400000,-38.42985534667969
1410000,-36.29645538330078
1420000,-36.16763687133789
1430000,-36.53940200805664
1440000,-36.384033203125
1450000,-36.44297790527344
1460000,-33.86986541748047
1470000,-34.997703552246094
1480000,-37.82661819458008
1490000,-38.08677291870117
1500000,-35.541908264160156
1510000,-37.51845932006836
1520000,-36.6801872253418
1530000,-37.2630500793457
1540000,-36.1439094543457
1550000,-37.33177947998047
1560000,-37.877323150634766
1570000,-39.12818908691406
1580000,-37.12937927246094
1590000,-37.25918960571289
1600000,-39.43749237060547
1610000,-35.87163162231445
1620000,-38.345123291015625
1630000,-38.03670883178711
1640000,-37.95234680175781
1650000,-39.186859130859375
1660000,-37.388648986816406
1670000,-39.676090240478516
1680000,-36.6479606628418
1690000,-34.942989349365234
1700000,-37.34910202026367
1710000,-42.02824401855469
1720000,-38.95194625854492
1730000,-36.423912048339844
1740000,-34.851070404052734
1750000,-38.088470458984375
1760000,-38.25199890136719
1770000,-37.17959976196289
1780000,-37.650428771972656
1790000,-36.10173416137695
1800000,-36.38040542602539
1810000,-37.07785415649414
1820000,-37.77934265136719
1830000,-36.06291961669922
1840000,-37.12776184082031
1850000,-37.3588981628418
1860000,-38.33878707885742
1870000,-36.673484802246094
1880000,-34.75564956665039
1890000,-35.531925201416016
1900000,-35.78461837768555
1910000,-35.878360748291016
1920000,-36.89885711669922
1930000,-37.42631912231445
1940000,-36.098270416259766
1950000,-36.19538116455078
1960000,-36.348793029785156
1970000,-35.535316467285156
1980000,-36.6076545715332
1990000,-36.0224723815918
2000000,-37.223087310791016
